ID,Name
MMZD,mother's mother's sister's daughter
MMZS,mother's mother's sister's son
MZ,mother's sister
MZDD,mother's sister's daughter's daughter
MZDS,mother's sister's daughter's son
MZH,mother's sister's husband
MZSD,mother's sister's son's daughter
MZSS,mother's sister's son's son
MZSW,mother's sister's son's wife
P,parent
PP,parents' parent
SWF,son's wife's father
SWM,son's wife's mother
TW,twin
WeZ,wife's elder sister
WyB,wife's younger brother
WyZ,wife's younger sister
Z,sister
ZD,sister's daughter
ZDD,sister's daughter's daughter
ZDH,sister's daughter's husband
ZDS,sister's daughter's son
ZS,sister's son
ZSW,sister's son's wife
_co_H,co- husband
_co_W,co- wife
eBW,elder brother's wife
eD,elder daughter
eS,elder son
eZH,elder sister's husband
yBW,younger brother wife
yD,younger daughter
yS,younger son
ySW,younger son's wife
yZH,younger sister's husband
DHF,daughter's husband's father
DHM,daughter's husband's mother
FFB,father's father's brother
FFBD,father's father's brother's daughter
FFBS,father's father's brother's son
FFBSD,father's father's brother's son daughter
FFZ,father's father's sister
FMB,father's mother's brother
FMZ,father's mother's sister
FMZS,father's mother's sister's son
FZDD,father's sister's daughter's daughter
FZSS,father's sister's son's son
MBDD,mother's brother's daughter's daughter
MBSS,mother's brother's son's son
MFB,mother's father's brother
MFBD,mother's father's brother's daughter
MFBS,mother's father's brother's son
MFZ,mother's father's sister
MH_notF,mother's husband's (not father)
MMB,mother's mother's brother
MMBD,mother's mother's brother's daughter
MMZDyS,mother's mother's sister's daughter's younger son
PP,parent's parent
WFBD,wife's father's brother's daughter
WFBS,wife's father's brother's son
WFZD,wife's father's sister's daughter
WFZS,wife's father's sister's son
WMZ,wife's mother's sister
WZD,wife's sister's daughter
WZS,wife's sister's son
yBW,younger brother's wife
WMBD,wife's brother's daughter
WMBS,wife's brother's son
WMZD,wife's mother's sister's daughter
WMZS,wife's mother's sister's son
FFZH,father's father's sister's husband
FMZH,father's mother's sister's husband
MFZH,mother's father's sister's husband
MMZH,mother's mother's sister's husband
FMBW,father's mother's brother's wife
FFBW,father's father's brother's wife
MMBW,mother's mother's brother's wife
MFBW,mother's father's brother's wife
WBS,wife's brother's son
HZS,husband's sister's son
WBD,wife's brother's daughter
HZD,husband's sister's daughter
BSS,brother's son's son
BSD,brother's son's daughter
ZSS,sister's son's son
ZSD,sister's son's daughter
BDS,brother's daughter's son
BDD,brother's daughter's daughter
WBSS,wife's brother's son's son
WBSD,wife's brother's son's daughter
WBDS,wife's brother's daughter's son
WBDD,wife's brother's daughter's daughter
WZDS,wife's sister's daughter's son
WZDD,wife's sister's daughter's daughter
HBSS,husband's brother's son's son
HBSD,husband's brother's son's daughter
HZSS,husband's sister's son's son
HZSD,husband's sister's son's daughter
HZDS,husband's sister's daughter's son
HBDD,husband's brother's daughter's daughter
HZDD,husband's sister's daughter's daughter
HFBS,husband's father's brother's son
HMBD,husband's mother's brother's daughter
HMZS,husband's mother's sister's son
HBDS,husband's brother's daughter's son
WMBS,wife's mother's brother's son
WMBD,wife's mother's brother's daughter
HMBS,husband's mother's brother's son
HBSW,husband's brother's son's wife
WS_notS,wife's son (not son)
WD_notD,wife's daughter (not daughter)
HS_notS,husband's son (not son)
HD_notD,husband's daughter (not daughter)
FFFB,father's father's father's brother
FMFB,father's mother's father's brother
FFMB,father's father's mother's brother
FMMB,father's mother's mother's brother
FFMF,father's father's mother's father
FMMF,father's mother's mother's father
FMFF,father's mother's father's father
FFFZ,father's father's father's sister
FMFZ,father's mother's father's sister
FFMZ,father's father's mother's sister
FMMZ,father's mother's mother's sister
FFFM,father's father's father's mother
FFMM,father's father's mother's mother
FMFM,father's mother's father's mother
FMMM,father's mother's mother's mother
HFF,husband's father's father
HFFB,husband's father's father's brother
HFMB,husband's father's mother's brother
MMMZD,mother's mother's mother's sister's daughter
WFM,wife's father's mother
WFFZ,wife's father's father's sister
WFMZ,wife's father's mother's sister
FFZS,father's father's sister's son
MMMZDD,mother's mother's mother's sister's daughter's daughter
FFZSS,father's father's sister's son's son
MMZDS,mother's mother's sister's daughter's son
ehB,older half brother
ehZ,older half sister
yhB,younger half brother
yhZ,younger half sister
FFZSDeD,father's father's sister's son's daughter's older daughter
MMZDeD,mother's mother's sister's daughter's older daughter
FFZSyS,father's father's sister's son's younger son
FFZSyD,father's father's sister's son's younger daughter
MMZDyD,mother's mother's sister's daughter's younger daughter
FFZDS,father's father's sister's daughter's son
MMZSS,mother's mother's sister's son's son
FFZDD,father's father's sister's daughter's daughter
MMZSD,mother's mother's sister's son's daughter
FBDH,father's brother's daughter's husband
FZDH,father's sister's daughter's husband
MBDH,mother's brother's daughter's husband
MZDH,mother's sister's daughter's husband
FZSW,father's sister's son's wife
MBSW,mother's brother's son's wife
BDH,brother's daughter's husband
BSW,brother's son's wife
ZCC,sister's child's child
FBCCC,father's brother's child's child's child
FZCCC,father's sister's child's child's child
MZCCC,mother's sister's child's child's child
CCC,child's child's child
CCCC,child's child's child's child
BCCC,brother's child's child's child
ZCCC,sister's child's child's child
FBCCCC,father's brother's child's child's child's child
FZCCCC,father's sister's child's child's child's child
MBCCCC,mother's brother's child's child's child's child
MZCCCC,mother's sister's child's child's child's child
SSW,son's son's wife
SDH,son's daughter's husband
DSW,daughter's son's wife
DDH,daughter's daughter's husband
FFZD,father's father's sister's daughter
PPP,parent's parent's parent
MMZDH,mother's mother's sister's daughter's husband
FFFBSS,father's father's father's brother's son's son
FMBS,father's mother's brother's son
FFBSW,father's father's brother's son's wife
MFFBSD,mother's father's father's brother's son's daughter
MFZD,mother's father's sister's daughter
FFBDH,father's father's brother's daughter's husband
FMZDH,father's mother's sister's daughter's husband
MFZS,mother's father's sister's son
FMBDH,father's mother's brother's daughter's husband
FFZDH,father's father's sister's daughter's husband
WMB,wife's mother's brother
WFZH,wife's father's sister's husband
HMB,husband's mother's brother
HFZH,husband's father's sister's husband
MFBSW,mother's father's brother's son's wife
MMZSW,mother's mother's sister's son's wife
FMBD,father's mother's brother's daughter
MFZSW,mother's father's sister's son's wife
MMBSW,mother's mother's brother's son's wife
MFBSW,mother's father's brother's sister's wife
WFZ,wife's father's sister
WMBW,wife's mother's brother's wife
HFZ,husband's father's sister
HMBW,husband's mother's brother's wife
EFB,spouse's father's brother
EMZH,spouse's mother's sister's husband
EMZ,spouse's mother's sister
EFBW,spouse's father's brother's wife
MMZDSS,mother's mother's sister's daughter's son's son
MMZDDS,mother's mother's sister's daughter's daughter's son
MMZDSD,mother's mother's sister's daughter's son's daughter
MMZDDD,mother's mother's sister's daughter's daughter's daughter
WBC,wife's brother's child
HZC,husband's sister's child
MZDC,father's brother's daughter's son
FBC,mother's sister's daughter's child
FBSC,father's brother's child
ZCE,father's brother's son's child
BCE,sister's child's spouse
FZDC,brother's child's spouse
MBDC,father's sister's daughter's child
FZSC,mother's brother's daughter's child
MBSC,father's sister's sister's child
WZDH,wife's sister's daughter's husband
HBDH,husband's brother's daughter's husband
FBSDH,father's brother's son's daughter's husband
FBDDH,father's brother's daughter's daughter's husband
WZSW,wife's sister's son's wife
FBSSW,father's brother's son's son's wife
FBDSW,father's brother's daughter's son's wife
FWS_notBorhB,father's wife's son that is not a brother or half brother.
MHS_notBorhB,mother's husband's son that is not a brother or half brother.
FWD_notZorhZ,father's wife's daughter that is not a sister or half sister
MHD_notZorhZ,mother's husband's daughter that is not a sister or half sister
FFBSD,father's father's brother's son's daughter
EGE,spouse's sibling's spouse
CEFB,child's spouse's father's brother
CEMZH,child's spouse's mother's sister's husband
CEMZ,child's spouse's mother's sister
CEFBW,child's spouse's father's brother's wife
hB,half brother
hZ,half sister
hB_FS,speaker's paternal half brother
hZ_FD,speaker's paternal half sister
hB_MS,speaker's maternal half brother
hZ_MD,speaker's maternal half sister
eG,speaker's elder sibling
yyG,"speaker's younger younger sibing, i.e. last born"
eW,"speaker's elder wife, i.e. his first wife because elder refers to the length of marriage in this context, rather than spousal age"
yW,"speaker's younger wife, i.e. any wife married after the first one because younger refers to the length of marriage in this context, rather than spousal age"
WeB,speaker's wife's elder brother
HyZ,speaker's husband's younger sister
HeZ,speaker's husband's elder sister
MeZH,speaker's mother's elder sister's husband
MyZH,speaker's mother's younger sister's husband
FyBW,speaker's father's younger brother's wife
WFFB,speaker's wife's father's father's brother
WFFZH,speaker's wife's father's father's sister's husband
WFMB,speaker's wife's father's mother's brother
WFMZH,speaker's wife's father's mother's sister's husband
WMFB,speaker's wife's mother's father's brother
WMFZH,speaker's wife's mother's father's sister's husband
WMMB,speaker's wife's mother's mother's brother
WMMZH,speaker's wife's mother's mother's sister's husband
HFFZH,speaker's husband's father's father's sister's husband
HFMZH,speaker's husband's father's mother's sister's husband
HMFB,speaker's husband's mother's father's brother
HMFZH,speaker's husband's mother's father's sister's husband
HMMB,speaker's husband's mother's mother's brother
HMMZH,speaker's husband's mother's mother's sister's husband
WFFBW,speaker's wife's father's father's brother's wife
WFMBW,speaker's wife's father's mother's brother's wife
WMFBW,speaker's wife's mother's father's brother's wife
WMFZ,speaker's wife's mother's father's sister
WMMBW,speaker's wife's mother's mother's brother's wife
WMMZ,speaker's wife's mother's mother's sister
HFFBW,speaker's husband's father's father's brother's wife
HFFZ,speaker's husband's father's father's sister
HFMBW,speaker's husband's father's mother's brother's wife
HFMZ,speaker's husband's father's mother's sister
HMFBW,speaker's husband's mother's father's brother's wife
HMFZ,speaker's husband's mother's father's sister
HMMBW,speaker's husband's mother's mother's brother's wife
HMMZ,speaker's husband's mother's mother's sister
FFeBS,speaker's father's father's elder brother's son
FFyBS,speaker's father's father's younger brother's son
FFeZS,speaker's father's father's elder sister's son
FFyZS,speaker's father's father's younger sister's son
FMeBS,speaker's father's mother's elder brother's son
FMyBS,speaker's father's mother's younger brother's son
FMeZS,speaker's father's mother's elder sister's son
FMyZS,speaker's father's mother's younger sister's son
MFBDH,speaker's mother's father's brother's daughter's husband
MMBDH,speaker's mother's mother's brother's daughter's husband
MFZDH,speaker's mother's father's sister's daughter's husband
FFeBSW,speaker's father's father's elder brother's son's wife
FFyBSW,speaker's father's father's younger brother's son's wife
FFeZSW,speaker's father's father's elder sister's son's wife
FFyZSW,speaker's father's father's younger sister's son's wife
FMeBSW,speaker's father's mother's elder brother's son's wife
FMyBSW,speaker's father's mother's younger brother's son's wife
FMeZSW,speaker's father's mother's elder sister's son's wife
FMyZSW,speaker's father's mother's younger sister's son's wife
FBWB,speaker's father's brother's wife's brother
FBWBW,speaker's father's brother's wife's brother's wife
HFB,speaker's husband's father's brother
WFB,speaker's wife's father's brother
HMZH,speaker's husband's mother's sister's husband
WMZH,speaker's wife's mother's sister's husband
ZHF,speaker's sister's husband's father
ZHFB,speaker's sister's husband's father's brother
BWF,speaker's brother's wife's father
HFBW,speaker's husband's father's brother's wife
WFBW,speaker's wife's father's brother's wife
ZHFBW,speaker's sister's husband's father's brother's wife
BWB,speaker's brother's wife's brother
ZHB,speaker's sister's husband's brother
WeBW,speaker's wife's elder brother's wife
WyBW,speaker's wife's younger brother's wife
WBSW,speaker's wife's brother's son's wife
WFBSW,speaker's wife's father's brother's son's wife
WMBSW,speaker's wife's mother's brother's son's wife
WFZSW,speaker's wife's father's sister's son's wife
WMZSW,speaker's wife's mother's sister's son's wife
ZHZ,speaker's sister's husband's sister
WeZH,speaker's wife's elder sister's husband
WyZH,speaker's wife's younger sister's husband
ZHZH,speaker's sister's husband's sister's husband
HFZS,speaker's husband's father's sister's son
HFBSW,speaker's husband's father's brother's son's wife
HMBSW,speaker's husband's mother's brother's son's wife
HFZSW,speaker's husband's mother's brother's son's wife
HMZSW,speaker's husband's father's sister's son's wife
HFZD,speaker's husband's father's sister's daughter
HeZH,speaker's husband's elder sister's husband
HyZH,speaker's husband's younger sister's husband
BWM,speaker's brother's wife's mother
ZHM,speaker's sister's husband's mother
SWB,speaker's son's wife's brother
DHB,speaker's daughter's husband's brother
yZHB,speaker's younger sister's husband's brother
SWZ,speaker's son's wife's sister
DHZ,speaker's daughter's husband's sister
BC,speaker's brother's child
WFF,speaker's wife's father's father
WMF,speaker's wife's mother's father
HMF,speaker's husband's mother's father
WMM,speaker's wife's mother's mother
HMM,speaker's husband's mother's mother
HFM,speaker's husband's father's mother
ZC,speaker's sister's child
